Suburb,Rooms,Type,Price,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,price_avg,price_min,price_max
Abbotsford,2,h,1480000.0,2.5,3067.0,1.0,1.0,202.0,,,Yarra,-37.7996,144.9984,115.5940594059406,30.0,400.0
Abbotsford,2,h,1480000.0,2.5,3067.0,1.0,1.0,202.0,,,Yarra,-37.7996,144.9984,140.29299363057325,28.0,900.0
Abbotsford,2,h,1035000.0,2.5,3067.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,115.5940594059406,30.0,400.0
Abbotsford,2,h,1035000.0,2.5,3067.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,140.29299363057325,28.0,900.0
Abbotsford,3,h,1465000.0,2.5,3067.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,115.5940594059406,30.0,400.0
Abbotsford,3,h,1465000.0,2.5,3067.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,140.29299363057325,28.0,900.0
Abbotsford,3,h,850000.0,2.5,3067.0,2.0,1.0,94.0,,,Yarra,-37.7969,144.9969,115.5940594059406,30.0,400.0
Abbotsford,3,h,850000.0,2.5,3067.0,2.0,1.0,94.0,,,Yarra,-37.7969,144.9969,140.29299363057325,28.0,900.0
Abbotsford,4,h,1600000.0,2.5,3067.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,115.5940594059406,30.0,400.0
Abbotsford,4,h,1600000.0,2.5,3067.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,140.29299363057325,28.0,900.0
Abbotsford,2,h,941000.0,2.5,3067.0,1.0,0.0,181.0,,,Yarra,-37.8041,144.9953,115.5940594059406,30.0,400.0
Abbotsford,2,h,941000.0,2.5,3067.0,1.0,0.0,181.0,,,Yarra,-37.8041,144.9953,140.29299363057325,28.0,900.0
Abbotsford,3,h,1876000.0,2.5,3067.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,115.5940594059406,30.0,400.0
Abbotsford,3,h,1876000.0,2.5,3067.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,140.29299363057325,28.0,900.0
Abbotsford,2,h,1636000.0,2.5,3067.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,115.5940594059406,30.0,400.0
Abbotsford,2,h,1636000.0,2.5,3067.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,140.29299363057325,28.0,900.0
Abbotsford,2,h,1097000.0,2.5,3067.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,115.5940594059406,30.0,400.0
Abbotsford,2,h,1097000.0,2.5,3067.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,140.29299363057325,28.0,900.0
Abbotsford,3,h,1350000.0,2.5,3067.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,115.5940594059406,30.0,400.0
Abbotsford,3,h,1350000.0,2.5,3067.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,140.29299363057325,28.0,900.0
Abbotsford,2,h,1172500.0,2.5,3067.0,1.0,1.0,195.0,,,Yarra,-37.8084,144.9973,115.5940594059406,30.0,400.0
